source_id,target_id,relationship_type,description
part8,part8_cooperation_reasons,INCLUDES,第八部分包含竞争对手进行合作的原因和动机
part8,part8_cooperation_networks,INCLUDES,第八部分包含建立同行合作网络
part8,part8_joint_ventures,INCLUDES,第八部分包含成立合资公司
part8,part8_corporate_groups,INCLUDES,第八部分包含打造企业集团
part8,part8_auto_cooperation,INCLUDES,第八部分包含三大汽车制造商之间的合作
part8,part8_unite_against_outside,INCLUDES,第八部分包含联合起来一致对外
part8,part8_industry_associations,INCLUDES,第八部分包含借力行业协会
part8,part8_framework_conditions,INCLUDES,第八部分包含框架条件
part8,part8_competitive_analysis,INCLUDES,第八部分包含竞争分析和标杆管理
part8,part8_didi_kuaidi_case,INCLUDES,第八部分包含滴滴快的补贴大战案例分析
root,part9,CONTAINS,德国家族企业包含第九部分保持与客户的长期和紧密的关系
part9,part9_longterm_customer_relations,INCLUDES,第九部分包含重视与客户的长期合作关系
part9,part9_flat_organization,INCLUDES,第九部分包含扁平化的组织结构
part9,part9_executive_customer_relations,INCLUDES,第九部分包含高管维护客户关系
part9,part9_demanding_customers,INCLUDES,第九部分包含让世界上最挑剔的客户满意
part9,part9_integrated_solutions,INCLUDES,第九部分包含为客户提供一体化的解决方案
part9,part9_customer_service,INCLUDES,第九部分包含客户服务
part9,part9_customer_trust,INCLUDES,第九部分包含赢得客户信任
part9,part9_brand_reputation,INCLUDES,第九部分包含墙内开花墙外香
part9,part9_dual_governance,INCLUDES,第九部分包含德国企业的双重治理结构
root,part10,CONTAINS,德国家族企业包含第十部分吸引并留住核心员工
part10,part10_employee_turnover,INCLUDES,第十部分包含德国企业的员工流动率
part10,part10_local_talent,INCLUDES,第十部分包含就地取材
part10,part10_value_alignment,INCLUDES,第十部分包含员工与企业的核心价值观一致
part10,part10_training,INCLUDES,第十部分包含员工培训和技能提升
part10,part10_internal_promotion,INCLUDES,第十部分包含内部培养管理人员
part10,part10_expert_track,INCLUDES,第十部分包含专家型发展模式
part10,part10_profit_sharing,INCLUDES,第十部分包含让员工分享利润
part10,part10_compensation,INCLUDES,第十部分包含提供有吸引力的薪酬福利和工作条件
part10,part10_authorization,INCLUDES,第十部分包含充分授权
part10,part10_job_security,INCLUDES,第十部分包含让员工具有安全感
part10,part10_boomerang_employees,INCLUDES,第十部分包含欢迎好马吃回头草
root,part11,CONTAINS,德国家族企业包含第十一部分稳健保守的财务政策
part11,part11_conservative_finance,INCLUDES,第十一部分包含奉行谨慎保守的财务政策
part11,part11_privacy_factors,INCLUDES,第十一部分包含注重私密因素
part11,part11_financial_independence,INCLUDES,第十一部分包含保持财务上的独立性
part11,part11_internal_financing,INCLUDES,第十一部分包含内源融资
part11,part11_risk_reserves,INCLUDES,第十一部分包含为潜在风险留足准备金
part11,part11_cash_is_king,INCLUDES,第十一部分包含现金为王
root,part12,CONTAINS,德国家族企业包含第十二部分代际传承基业长青
part12,part12_succession_challenges,INCLUDES,第十二部分包含中国家族企业代际传承面临的挑战
part12,part12_succession_elements,INCLUDES,第十二部分包含家族企业传承的要素
part12,part12_succession_advantages,INCLUDES,第十二部分包含家族企业传承的优势
part12,part12_family_constitution,INCLUDES,第十二部分包含家族宪章
part12,part12_tradition_modern,INCLUDES,第十二部分包含传统与现代的结合
part12,part12_succession_planning,INCLUDES,第十二部分包含确保代际顺利传承
root,part13,CONTAINS,德国家族企业包含第十三部分匡特家族（一）
part13,part13_immigration,INCLUDES,第十三部分包含移民勃兰登堡
part13,part13_emil_entrepreneur,INCLUDES,第十三部分包含从学徒到企业家
part13,part13_management_philosophy,INCLUDES,第十三部分包含老匡特的经营理念和接班人培养
part13,part13_gunther_entrepreneur,INCLUDES,第十三部分包含第二代的企业家之路
part13,part13_wwi_period,INCLUDES,第十三部分包含匡特在一战期间
part13,part13_acquisition_master,INCLUDES,第十三部分包含被称为收购大师的金特·匡特
part13,part13_herbert_training,INCLUDES,第十三部分包含培养第三代接班人赫伯特·匡特
part13,part13_generation_transition,INCLUDES,第十三部分包含匡特家族的世纪交替
root,part14,CONTAINS,德国家族企业包含第十四部分匡特家族（二）
part14,part14_daimler_competition,INCLUDES,第十四部分包含角逐戴姆勒-奔驰公司
part14,part14_bmw_competition,INCLUDES,第十四部分包含角逐宝马公司
part14,part14_bmw_crisis,INCLUDES,第十四部分包含宝马公司陷入困境
part14,part14_bmw_shareholder_meeting,INCLUDES,第十四部分包含宝马公司慕尼黑股东大会
part14,part14_bmw_rescue,INCLUDES,第十四部分包含拯救宝马
part14,part14_fourth_generation,INCLUDES,第十四部分包含第四代传承
part14,part14_mother_children,INCLUDES,第十四部分包含母亲和子女之间
part14,part14_bmw_modern,INCLUDES,第十四部分包含第四代手中的宝马集团
root,case_guiren_bird,CONTAINS,德国家族企业包含贵人鸟案例分析 
